StopName,Routes...
三号桥,嘉定59路,嘉定55路,崇明乡村4路
三号河,金山工业区二路
三团,江平专线,南团快线
三坎,邵鹤线,四团3线
三坎村,新芦专线
三城路腾庄路,庄行1线,奉贤26路,奉贤28路
三墩,大团2路
三官堂,南海线
三宣公路下塘,浦东111路
三宣公路东大公路,浦东111路
三宣公路南团公路,浦东111路,浦东105路
三宣公路唐家庵路,浦东111路,浦东105路
三宣公路川南奉公路,浦东111路
三宣公路徐邵路,浦东111路,浦东105路
三宣公路洪通路,浦东111路,浦东105路
三宣公路邵家宅路,浦东111路,浦东105路
三彩路和炯路,576路,955路
三彩路林德路,浦东37路
三德,浦东23路
三新北路,1805路,松江15路
三新北路天翔路,松江19路,松江14路
三新北路广富林路,1805路,1804路,1801路,松江24路,松江15路
三新北路思贤路（北）,松江14路
三新北路文宇路,1805路,1804路,1801路,松江24路,松江15路
三新北路文翔路,1805路,1804路,松江15路
三新北路文诚路,松江19路,松江14路
三新北路新松江路,松江19路,松江14路,松江15路
三新北路站,松江有轨电车1号线,松江有轨电车2号线
三新路乐都西路,松江14路
三新路仓丰路,松江4路,1808路
三新路弘翔路,松江旅游观光2线
三新路思贤路,松江14路,松江3路,1810路,松江23路区间
三新路永隆路,松江4路
三旋路和融路,浦东37路
三星中学,南建专线,南新专线（崇明巴士）
三星村,885路,185路,宝山19路
三星路云逸路,松江2路
三星镇,南建专线,南新专线（崇明巴士）
三林世博家园,隧道一线,784路,604路,1025路,83路
三林中学,174路
三林西路晨眺路,1022路
三林西路钟晓璐,1022路
三林路三新路,576路,873路,1018路,84路,810路,456路
三林路上南路,873路,576路,1018路,84路,810路,456路
三林路东明路,780路,784路,1003路,795路
三林路杨高南路,572路,780路,795路
三林路林悦路,84路,978路
三林路灵岩南路,576路,338路,84路,873路,810路,456路
三林路环林东路,780路,784路,1003路,795路
三林路环林西路,1026路,755路,795路
三桥,778路
三桥村,柘林3线
三民文化村,堡胜专线,南东专线
三民路,奉贤26路
三民路南亭公路,奉贤28路
三汀沟,719路,宝山25路
三江路宾阳路,1204路
三江路龙漕路,1204路
三沙洪,南跃线,南隆专线,南隆专线（区间）,南风线
三沙洪路中街山路,城桥2路
三泉路临汾路,159路,551路,745路,741路
三泉路保德路,1601路,745路,812路,726路,741路
三泉路共康路,719路,1601路,159路,745路,812路,850路,726路,741路
三泉路场中路,159路,551路
三泉路场北路,850路
三泉路长江西路,850路,812路,719路
三泉路闻喜路,551路,745路,845路
三浜村,金山105路区间
三浜路茸华路,松江61路
三灶路中界路,615路
三灶路孙塘路,615路
三灶路孙弘路,615路
三灶路孙新路,615路
三灶路孙浦路,615路
三灶路孙环路,615路
三祥路刘五公路,松江45路
三秀路香长路,松江76路
三舒路和融路,1122路,浦东37路,1034路
三舒路懿行路,1122路,浦东37路
三角洋,奉贤45路,奉城4线,奉卫线
三角洋东,奉卫线,奉城4线
三角洋南,奉贤45路
三转炉,322路,宝山88路,726路
三里桥,嘉松线,嘉定59路,嘉定63路
三门路吉浦路,99路,559路,1226路,960路
三门路安汾路,874路
三门路市光路,8路
三门路政云路,1226路
三门路新江湾城,99路,749路
三门路淞沪路,937路
三门路逸仙路,874路
三鲁公路东方一路,江五线,浦江19路B线,788路,772路,浦江2路,闵行20路
三鲁公路东方一路（肖家店）,沪塘专线
三鲁公路懿行路（红旗）,174路
三鲁公路林恒路,772路
三鲁公路林恒路（友建桥）,174路,沪塘专线
三鲁公路江月路,772路,闵行20路
三鲁公路江月路（三友）,174路,沪塘专线
三鲁公路沈杜公路,浦江15路,闵行10路,闵行20路
三鲁公路沈杜公路（谈家港）,174路,沪塘专线
三鲁公路浦放路,江五线,浦江6路,浦江11路,788路,183路,闵行20路
三鲁公路浦放路（建岗）,沪塘专线
三鲁公路浦涛路,浦江6路,闵行20路
三鲁公路浦涛路（王家门）,沪塘专线
三鲁公路浦航路,沪塘专线,江五线,浦江6路,闵行20路
三鲁公路浦连路,江五线,806路,浦江11路,183路,浦江6路
三鲁公路竹园路,沪塘专线,闵行20路
三鲁公路联航路,闵行20路
三鲁公路联航路（康桥）,174路,沪塘专线
三鲁公路苏近路,浦江10路,772路
三鲁公路苏近路（知新）,174路,沪塘专线
三鲁公路闵瑞路,806路
三鲁公路闸航路,788路,772路,浦江2路,浦江19路,浦江7路,闵行20路
三鲁公路陈行公路,浦江10路,772路,沪塘专线
三鲁公路陈行公路（农机站）,174路
三鲁公路鲁南路,沪塘专线,江五线,浦江19路B线,788路,772路,浦江2路,闵行20路
三鲁路懿行路,576路,338路,810路
三鲁路浦连路,浦江1路,174路
上中西路凌云路,180路,720路,156路,闵行20路,755路,218路
上中西路天等路,731路,131路
上中西路老沪闵路,闵行20路,731路,131路,755路
上中西路虹梅南路,720路,156路,867路,闵行20路,180路
上中西路镇西路,720路,156路,867路,闵行20路,180路
上中西路龙州路,56路,156路,180路,731路,131路,755路,闵行20路
上中路龙临路,闵行20路,718路
上丰路华东路,1039路,浦东66路,浦东48路,沪川线,636路
上丰路卡园二路,浦东48路
上丰路卡园路,1039路,989路,636路
上丰路宏雅路,1039路,浦东66路,浦东48路
上丰路新雅西路,沪川线
上丰路王港路,浦东2路,浦东66路,1039路,浦东48路
上丰路虹盛路,浦东2路,浦东66路
上丰路金丰路,1039路
上丰路顾唐路,1039路
上元路,临港中运量1号线,临港中运量2号线
上元路沪城环路,南临专线
上农新村,502路,132路,942路,302路,51路,167路,537路,52路,854路,139路
上南七村,隧道夜宵一线,隧道一线,隧道二线
上南路三林路,1018路,338路,576路,177路,986路,174路,浦东98路,沪塘专线,三林1路,755路,浦东97路,456路
上南路世博大道,陆家嘴旅游环线（世博公园定班）
上南路东明路,浦东97路
上南路中华艺术宫,陆家嘴旅游环线
上南路华夏西路,576路,338路,177路,174路,986路,浦东98路,583路,沪塘专线,955路,973路,浦东97路,456路,三林1路,浦东113路
上南路博城路,陆家嘴旅游环线（世博公园定班）
上南路博成路,浦东98路,1118路,陆家嘴旅游环线
上南路国展路,177路,陆家嘴旅游环线（世博公园定班）,浦东98路,1049路,83路,陆家嘴旅游环线
上南路外环,177路
上南路外环线,浦东97路,沪塘专线
上南路外环路,三林1路
上南路康沈路,浦东64路,639路,浦东98路,浦东97路
上南路德州路,787路,沪塘专线,576路,610路,976路,83路,1076路,981路,177路,浦东98路,955路,980路,973路,782路,浦东97路,456路
上南路昌里路,976路,576路,981路,787路,610路,浦东36路,83路,1076路,604路,177路,浦东98路,955路,沪塘专线,浦东97路,456路
上南路曲桥路,浦东98路,浦东97路,浦东61路
上南路杨思路,338路,83路,787路,576路,177路,981路,986路,浦东98路,955路,980路,沪塘专线,973路,782路,浦东97路,1012路,456路
上南路林恒东路,浦东97路
上南路林海公路,浦东97路
上南路永泰路,沪塘专线,1018路,177路,84路,浦东98路,986路,873路,浦东97路,810路,三林1路
上南路沪南公路,浦东98路,浦东97路,639路,浦东64路
上南路浦东南路,83路,沪塘专线,981路,177路,浦东98路,454路,456路
上南路海阳路,338路,三林1路,576路,174路,177路,986路,浦东98路,583路,沪塘专线,955路,973路,浦东97路,456路
上南路渡桥路,浦东97路
上南路秀海路,浦东98路,浦东34路
上南路秀海路（吴迅中学）,浦东97路
上塑路奉永路,青村1线
上塑路姚家村路,青村1线
上塑路林海公路,青村1线
上塑路沿钱公路,青村1线
上塑路盐青路,青村2线
上大路沪太路,702路
上大路祁连山路,110路,332路
上川路凌空北路,浦东67路
上川路华东路,浦东68路,浦东5路,790路,630路
上川路川沙路,曹路3路,浦东5路,790路,630路,浦东68路,浦东67路,浦东20路,浦东27路
上川路民耀路,浦东5路,浦东68路,790路,630路,沪川线,曹路2路
上川路民雨路,浦东5路,630路,浦东68路
上川路金穗路,曹路2路,沪川线
上川路金群路,630路,浦东27路
上川路金钻路,630路,浦东67路
上师大二附中,金山1路,朱钱卫线,金山5路
上师大奉贤校区东门,海湾1线,奉贤9路,海湾快线,奉卫线,海航专线
上师大奉贤校区南门,海湾快线
上旅专科学院,海湾快线
上浦西路济阳路,1022路
上浦路济阳路,955路,583路,973路,761路,873路,755路,986路
上浦路长清路,1115路,955路,873路,174路,583路,973路,755路,761路,986路
上海中医院,963路
上海中学,731路,131路,755路,718路
上海中心,旅游5线
上海中心（花园石桥路）,旅游8线
上海体育场,15路,958路,927路,大桥六线,315路,178路,770路,824路,932路,733路,808路,957路,92路,44路,830路,隧道二线
上海体育馆,720路,923路,178路,49路,703路,704路,徐川专线,89路,120路,824路,754路,721路,985路,926路,167路,808路,718路,122路,957路,92路,157路,198路,218路,138路,456路,830路
上海动物园,57路,新泾1路,519路,807路,91路,739路,941路,809路
上海动物园枢纽,748路（71路支线3）,1207路,新泾1路,328路,721路
上海动物园（虹井路）,911路
上海动物园（虹桥路）,虹桥枢纽1路,911路
上海南站,303路,957路,156路,315路,上石线,867路,703路,机场七线,157路
上海南站（北广场）,301路,763路,747路,虹桥枢纽1路,729路,1252路
上海南站（南广场）,上松夜宵线,860路,上嘉线,973路,上青线,上奉专线,南南线
上海博物馆,旅游6线,旅游4线
上海博物馆站,旅游1线
上海历史博物馆,旅游4线
上海历史博物馆站,旅游1线
上海大学,110路,332路
上海展览中心,71路区间,71路
上海展览馆,旅游6线,旅游4线
上海市人民英雄纪念塔（外滩观光隧道）,旅游10线,旅游9线
上海市公共卫生临床中心,石漕线
上海市历史博物馆（大光明电影院）,旅游9线
上海师大,303路,徐闵夜宵专线,上青线,166路,224路,131路,上嘉线,43路,763路,712路,732路,946路
上海师大奉贤校区东门,奉贤19路,海沈线
上海康城,松莘线,125路,153路
上海政法学院,松江94路
上海映象阳城,957路
上海春城,闵行13路
上海浦南陵园,松江71路,松江35路区间,松江35路
上海游泳馆,111路,958路,56路,957路,824路,104路,770路,大桥六线,87路,808路,956路,49路,456路,830路,隧道二线
上海火车站,315路,840路
上海火车站(北广场),106路
上海火车站(南广场),927路
上海火车站（中兴路）,78路,859路,963路
上海火车站（共和路）,113路
上海火车站（北广场）,929路,455路,305路,306路,310路,942路,117路,115路,823路,962路,机场四线
上海火车站（南广场）,322路,324路,328路,104路,301路,308路,申川专线,隧道夜宵线,隧道三线,898路,302路,109路,329路,930路,837路,941路
上海火车站（普善路）,744路,912路
上海火车站（民立路）,768路
上海电视台,旅游6线,112路,20路,324路,330路,109路,37路,旅游4线
上海科技馆,975路,浦东121路
上海科技馆地铁站,申崇四线,申崇二线
上海西站,01线,768路,742路,129路,106路,319路,944路,长征1路
上海赛车场,嘉定53路,嘉定123路,嘉定70路,嘉定102路
上海辰山植物园,松江95路,松江96路
上海邮政总局（苏河水岸）,旅游9线
上海野生动物园,浦东71路,南龙专线,浦东125路
上海长宁科技学院,1073路
上虞路新工北路,松江76路
上虞路红牡丹路,松江76路
上虞路胡甪路,松江76路
上飞路军港公路,浦东30路
上飞路祝飞路,浦东30路
下南路北艾路,1008路,730路
下南路华绣路,1008路,1083路
下南路商汇,1025路
下南路成山路,161路,604路,1008路,730路,607路,970路
下南路绿林路,北蔡2路,789路,730路,970路
下南路陈春路,730路
下南路顾全路,730路,970路
下南路高青路,730路,970路,北蔡2路
下沙,沪南线,航头5路,1087路
下沙西街航梅路,1087路
下沙西街航鹤路,浦东104路
下盐公路航春路,1101路
下盐公路鹤恒路,1101路
下盐路,浦东59路
下盐路三灶村,806路,宣桥1路
下盐路东港公路,浦东30路
下盐路两港大道,浦东30路
下盐路光明村,浦东51路
下盐路光明路,806路,浦东87路,宣桥1路
下盐路六奉公路,806路
下盐路南六公路,806路,宣桥1路,浦东59路,浦东87路,浦东51路,浦东125路
下盐路南祝路,浦东30路,1138路
下盐路合欢路,806路,浦东53路
下盐路园中路,806路,浦东125路
下盐路城西路,浦东93路,1138路
下盐路大川公路,806路,浦东51路,浦东125路
下盐路川南奉公路,浦东30路
下盐路巴士学院,806路,浦东53路
下盐路康新公路,806路
下盐路悦目路,浦东30路
下盐路林海公路,806路
下盐路汉高路,浦东30路
下盐路沪南公路,806路
下盐路王桥村委,806路
下盐路申江南路,浦东53路,806路
下盐路白龙港桥,浦东30路
下盐路盐大路,浦东30路
下盐路祝和路,浦东30路
下盐路祝桥村,浦东53路,806路
下盐路联胜路,806路
下盐路腰路村13组,806路,宣桥1路
下盐路航春路,806路
下盐路航瑞路,806路
下盐路良虹路,806路
下盐路莲航路,806路,浦东53路
下盐路谈龙路,806路
下盐路陆楼村东路,浦东30路
下盐路靖海北路,浦东30路
下盐路鹤恒路,806路
下盐路鹤航路,806路
