StopName,Routes...
园福路园大路,嘉定102路
园美路谈家塘路,闵行38路
园耀路园大路,嘉定103路
园耀路百安公路,嘉定103路
园顺路南芦公路,惠南8路
园高路翔方公路,嘉定123路
国京路政立路,8路
国伟路政悦路,1201路,61路
国和新村,大桥三线
国和路世界路,966路
国和路中原路,966路
国和路包头路,966路,28路
国和路政立路,842路,187路,8路
国和路政通路,90路,8路,854路
国和路民庆路,55路,966路,307路
国和路民府路,55路,307路
国学路国权北路,875路
国安路三门路,1226路
国安路国舟路,1255路,1226路
国安路政立路,1255路
国安路殷高东路,1255路
国安路民府路,1255路
国定东路翔殷路,8路,453路
国定新村,819路,966路
国定路四平路,60路,405路
国定路政立路,406路
国定路邯郸路,60路,99路,966路,559路,713路,749路,960路,850路
国定路黄兴路,60路
国展路周家渡路,1118路,1049路,83路
国帆路恒学路,1256路,168路,1218路
国帆路淞沪路,1256路,1218路,168路
国康路四平路,嘉五线,822路
国晓路政和路,1255路,1256路,1226路
国权北路三门路,960路
国权北路何家湾路,875路,1612路
国权北路国学路,1256路
国权北路国帆路,1256路
国权北路国政路,1256路,1218路
国权北路国秀路,1256路,1218路
国权北路政立路,99路,559路,960路
国权北路殷行路,1256路,875路
国权北路殷高路,875路,1612路
国权北路青石路,1608路,875路,1612路,502路
国权路四平路,118路
国权路政本路,80路
国权路邯郸路,118路
国江路淞行路,168路
国浩路政和路,1201路,1256路,538路,168路,1226路
国浩路江湾城路,1201路,1256路
国海路上滨路,临港8路
国秀路政和路,1201路,1256路
国秀路新江湾城公园,1256路
国秀路淞沪路,1256路,1228路
国秀路淞沪路(下行单向),1218路
国货路南车站路,89路
国货路海潮路,89路
国贸大厦,松江11路
国防路,奉贤18路
国顺东路双阳北路,147路,80路,559路
国顺东路沙岗路,133路,868路,934路,80路,577路,1238路,137路
国顺东路翔殷支路,934路,1238路
国顺东路翔殷路,934路,1238路
国顺东路营口路,133路,80路,147路,577路
国顺路四平路,118路
国顺路政本路,118路
国顺路邯郸路,大桥五线
国顺路黄兴路,147路
圆展路渔翔路,长兴1路,长兴1路（区间）
圆瑞路渔歌路,长兴1路,长兴1路（区间）,长兴4路
地灵路芝江路,奉贤16路
场东路,125路
场东路新南路,125路
场中路三号桥,187路,110路,551路,845路
场中路三泉路,187路,110路
场中路五四公路,奉贤47路,四团2线,海湾3线
场中路守仁桥街,528路,110路,187路,551路
场中路少年村路,110路,187路,159路,551路,845路
场中路岭南路,187路,912路
场中路平顺路,187路,912路
场中路新市北路,132路,187路,118路,850路,812路,874路,875路,749路,887路
场中路江扬南路,118路
场中路江杨南路,187路,745路,812路,850路,597路,749路
场中路沪太路,187路
场中路沽源支路,66路,875路,874路
场中路阳曲路,187路
场北路三泉路,165路,850路
场北路大康路,745路,165路
场北路康宁路,165路,745路,宝山35路
场北路康宁路(下行单向),705路
场北路康文路,745路
场北路长临路,165路,745路,705路,宝山35路
场南路,125路
场联路乾溪路,110路,68路,767路
场联路环镇北路,68路,767路
场西路,松江51路
场西路新南路,松江51路,松江52路
场西路明中路,松江52路
场西路莘砖公路,松江51路
场西路陈春路,松江52路
坍石桥,嘉定68路
坎北路,江平专线
坚河头,南海线
坦仁路仁义村,新场3路
城中东路保安路,青浦2路,青浦6路,青浦19路,青浦11路,青浦1路,青浦3路
城中东路宝庆街,青浦17路,青浦19路,青浦11路
城中东路浦仓路,青浦19路,青浦11路,青浦1路,青浦3路,青浦18路
城中东路章浜路,青浦11路,青浦19路,青浦1路,青浦3路,青浦18路
城中北路万寿二路,青浦8路,青浦16路,青浦1路
城中北路三元路,青浦29路,青浦1路
城中北路盈港路,青浦8路,青浦16路,青浦1路
城中北路竹盈路,青浦16路
城中北路青赵公路,青浦29路,青浦1路
城中南路城中东路,青浦1路
城中南路沪青平公路,青浦1路
城中南路老朱青路,青浦1路
城中西路五厍浜路,青浦17路,青浦19路,青浦11路
城中西路卫中路,青浦2路,青浦17路,青浦5路,青浦19路,青浦11路
城中西路港俞路,青浦17路,青浦5路,青浦19路,青浦11路
城中路塔城路,嘉定56路,嘉定13路,嘉定9路,嘉定64路
城中路奉旺路,奉城2线
城中路张马路,嘉定3路,嘉定55路,嘉定13路,嘉定69路,嘉定9路
城中路沙霞路,嘉定13路,嘉定9路
城中路清河路,嘉定13路,嘉定1路,嘉定12路,嘉定56路,嘉定63路,嘉定3路,嘉定69路,嘉定62路,嘉定68路
城丰路中界路,615路
城丰路华夏三路,615路
城丰路界龙大道,615路
城丰路（城丰村）,615路
城乡东路青村南路,青村2线
城北路兴文路,嘉定7路b线,嘉定7路
城北路兴贤路,嘉定7路b线,嘉定7路
城北路兴顺路,嘉定7路b线,嘉定7路
城北路北和公路,嘉定7路b线,嘉定7路
城北路宝钱公路,嘉定7路b线,嘉定7路
城北路平城路,嘉定12路,嘉定7路b线,嘉定7路
城北路树屏路,嘉定71路,嘉定7路,嘉定7路b线
城北路汇旺路,嘉定71路,嘉定7路,嘉定7路b线
城北路汇源路,嘉定7路b线,嘉定7路
城北路霜竹公路,嘉定7路b线,嘉定7路
城北镇,南跃线,南江专线
城南路妙境路,浦东68路
城南路川沙路,浦东21路,浦东68路,188路
城南路川黄路,浦东21路,188路
城南（清漪园）,沪南线
城基路中山路,1111路
城大路兰博路,邵鹤线,江五线
城大路川南奉公路,奉城2线,邵鹤线,奉城1线,江五线
城大路永益路,奉城2线
城市规划展示馆站,旅游1线
城桥镇社区事务受理中心,城桥3路
城河路金山大道,金山11路,金山4路
城西路下盐路,浦东93路
城西路人民西路,浦东107路,浦东69路,1111路,浦东123路
城西路拱极路,1111路,浦东107路,浦东123路
城西路西门路,浦东123路,浦东122路
城银路园庆路,宝山56路
城银路真陈路,宝山56路
城隆路城桂路,松江69路,松江55路,松江56路,191路
城隆路塘砖路,松江48路,松江105路,191路
城隆路洞照路,松江69路,松江48路,松江105路,松江56路,191路
城隆路王家厍路,松江69路,松江105路,松江56路,191路
城隆路王家库路,191路
城隍庙豫园,旅游2线
城隍庙豫园站,旅游1线
城隍庙（人民路）,旅游7线
埭安路人民西路,浦东59路,浦东71路
培爱路培育路,青浦36路,金泽3路
培育路培爱路,青浦36路,金泽3路
培雅南路岑卜东路,1518路
培雅南路港悦路,1518路
基础公司,117路
堡港路化工路,1712路
堡港路崇明大道,1712路
堡港路工农路,1712路
堡港路通富路,1712路
堡辉路工农东路,1713路
堡镇中路崇明大道,1712路
堡镇北路陈海公路,堡陈专线,堡红线（区间）,堡红线
堡镇医院,1711路,1713路,堡七线,1712路
堡镇南路崇明大道,1713路
堡镇汽车站,堡陈中线,堡陈专线,申崇三线（区间）,1712路,堡陈北线,南堡快线,崇明乡村9路,堡七线,1713路,申崇六线,南堡二线,堡红线,堡红线（区间）,堡胜专线（区间）,堡胜专线,堡进线,南堡专线,堡四线
堡镇社区卫生服务中心,1713路
堤北村,堡陈中线,堡红线（区间）,堡红线
塔城东路和政路,嘉定5路
塔城东路澄浏中路,802路,嘉定10路
塔城路博乐路,嘉泰线,嘉定131路,841路,嘉定5路,嘉定6路,嘉定62路,嘉定68路
塔城路城中路,嘉定5路,嘉定62路,嘉定68路,嘉定11路
塔城路梅园路,嘉定3路,嘉定5路,嘉定69路,嘉定63路
塔城路沪宜公路,嘉定69路,嘉定5路,嘉定63路
塔城路高昌路,嘉定69路,嘉定3路,嘉定5路
塔新东路刘石路,802路,嘉定10路
塔新东路徐南路,802路,嘉定10路
塔新路倪家浜路,嘉定3路,802路,嘉定10路
塔新路浏翔公路,802路,嘉定10路
塔新路立新路,802路,嘉定10路
塔桥村,嘉定64路
塔汇,松江23路,松江30路,1849路,松江79路
塔汇公路塔闵公路,松江30路
塔汇公路甘德公路,松江35路
塔汇路塔闵公路,松江30路
塔汇路塔闵路,1849路
塔汇路甘德路,松江23路,松江30路
塔汇路长塔路,松江23路,松江30路,1849路
塔汇路闵塔公路,松江23路
塔港村,松江31路,881路,松卫专线
塔港桥,南松专线
塔源路古莲路,宝山89路,宝山91路,宝山10路,宝山57路
塔源路月川路,宝山91路
塔源路石太路,宝山91路,宝山10路,宝山89路
塔秀路德富路,嘉定14路,嘉定9路,嘉定4路
塔秀路永盛路,嘉定4路,嘉定9路
塔秀路阿克苏路,嘉定14路
塔虹路月富路,宝山91路
塔虹路月盛路,宝山87路
塔虹路月罗公路,宝山12路,宝山87路,宝山91路
塔闵公路黄塔路,松江39路
塘东路东川公路,合庆2路
塘东路凌杨路,合庆2路
塘乐路城隆路,松江69路,松江56路
塘北路塘北3组,1061路
塘北路塘北村,1061路
塘口,松江72路,978路
塘后路双城路,宝山7路,宝山23路,吴淞滨江线
塘后路海江路,宝山23路,吴淞滨江线
塘后路炮台湾湿地公园,吴淞滨江线
塘园路,1657路,1672路
塘园路亭枫公路,1671路
塘园路金龙街,1671路
塘外,沪塘专线,奉贤45路,奉卫线,奉城4线
塘外卫生院,沪塘专线,奉城4线,奉卫线
塘庄,嘉定67路,嘉定103路
塘桥,松青线
塘桥(沪太路),963路,宝山25路
塘桥新路公交枢纽,浦亭线
塘桥新路枢纽站,浦东89路,1019路
塘桥新路浦东南路,浦亭线
塘桥（沪太路）,528路
塘沽路乍浦路,52路
塘沽路吴淞路,100路
塘泾路尚义路,闵行26路,闵行4路
塘浦路丁连路,浦江4路,978路
塘浦路网埠,978路,浦江4路
塘浦路芦恒路,浦江4路,978路
塘浦路苏近路,浦江4路
塘浦路许家桥,浦江4路
塘浦路近浦村,浦江4路,978路
塘浦路陈行公路,浦江4路,978路
塘湾,闵行16路
塘湾村三组,闵行7路
塘砖路德宁路,松江105路
塘砖路洞坤路,松江48路
塘砖路洞照路,松江105路
塘祁路华瑞路,宝山38路
塘祁路华秋路,宝山38路
塘西街罗新路,839路,宝山31路,834路
塘角中路塘角3组,浦东60路
塘角中路塘角9组,浦东60路
塘角中路白龙港,浦东60路
塘角中路老芦公路,浦东60路
塘路村10组,1073路
塘路村7组,1073路
塘路村委,1073路
墅沟路新成路,嘉定3路,嘉定11路
墅沟路茹水路,嘉定3路,嘉定11路
墅沟路迎园路,嘉定6路,嘉定11路
増丰,奉卫线
增联路,横沙3路
墨玉北路周泾路,嘉定128路
墨玉北路嘉安公路,嘉定69路,嘉定128路
墨玉北路园际路,嘉定69路
墨玉北路外钱公路,嘉定128路
墨玉北路宝安公路,嘉定102路,嘉定69路,嘉定128路
墨玉南路博园路,嘉定116路,嘉定114路区间,嘉定114路,嘉定112路
墨玉南路安礼路,嘉定114路
墨玉路博园路,陆安线（高速）
墨玉路曹安公路,陆安线（高速）
墩头村,金汇2线
墩头村委会,金汇2线
复兴东路光启路（豫园）,24路,715路,64路
复兴东路码头,旅游3线
复兴东路轮渡,旅游8线,旅游7线
复兴中路乌鲁木齐中路,96路
复兴中路吉安路,24路
复兴中路汾阳路,96路
复兴中路淮海中路,96路
复兴中路瑞金二路,864路,955路,17路,304路,96路,786路
复兴中路茂名南路,146路
复兴中路重庆南路,24路,17路,304路
复兴中路陕西南路,96路
复兴中路顺昌路,304路
复兴中路黄陂南路,24路,17路,304路
复兴岛,577路
复兴岛公园,577路
复兴西路华山路,548路,96路
复兴西路武康路,96路
复兴路沪青平公路,朱家角6路
复兴路浦祥路,朱家角6路
复旦大学,133路,1201路,405路,942路,966路,59路,118路,850路,812路,329路,854路,168路,139路,960路
复旦大学（江湾城新校区）,168路,1226路
夏宁路博才路,金山工业区一路
夏宁路金山工业区大道,莲卫专线
夏家埭路新松公路,松江79路
夏家村,四团1线
夏家村4组,四团1线
夏栎路夏涟河桥,申港3路,申港1路
夏栎路铃兰路,申港3路,申港1路
夏碧路季景路,浦东66路,453路,浦东26路
夏碧路张杨北路,1015路,浦东26路
夏碧路杨高北路,浦东66路,453路,浦东26路
外冈,嘉定60路
外冈路秦哑路,嘉定57路,嘉定61路,嘉定21路,嘉定55路
外冈车站,嘉定53路,嘉定71路,嘉定128路
外冈镇,嘉定55路,嘉定61路,嘉定57路
外国语学校,南风线
外滩,旅游5线,旅游4线
外滩外白渡桥,旅游2线
外滩外白渡桥站,旅游3线
外滩浦江游船码头,旅游3线
外滩浦江游船码头站,旅游1线
外滩海关大楼站,旅游1线
外滩金牛广场（中山东一路）,旅游8线,旅游7线
外滩金牛广场（亲水平台）,旅游10线
外滩陈毅广场,旅游5线,旅游4线
外滩（南京东路）,旅游8线,旅游7线
外滩（汉口路）,旅游7线
外环路,71路区间,71路
外环路地铁站,松莘线,125路
外环路地铁站（南广场）,957路
外环路莘沥路,闵行8路,闵行20路
外环路（ 中运量）,748路（71路支线3）
外环路（中运量）,748路（71路支线3）
外环高速公路沪青平公路,519路,91路
外钱公路吴塘桥,嘉定61路
外钱公路墨玉北路,嘉定61路
外钱公路外青松公路,嘉定53路,嘉定61路,嘉定57路
外钱公路宝钱公路,嘉定57路
外钱公路望安公路,嘉定61路
外钱公路管新路,嘉定61路
外青松公路,沪朱高速线
外青松公路佘天昆路,松江旅游观光1线
外青松公路公园路,青浦2路,松青线,青浦1路
外青松公路冈峰公路,嘉定55路
外青松公路北青公路,青浦30路,青安线
外青松公路千新公路,松江91路
外青松公路华科路,沪青高速专线
外青松公路吴家浜,青安线
外青松公路天一路,青安线,青浦10路
外青松公路安鹤路,白鹤6路,青安线
外青松公路崧泽大道,青浦30路
外青松公路新业路,青浦30路,青安线
外青松公路新科路,青浦30路,青安线
外青松公路新阳村,松青线
外青松公路曹安公路,青安线,青安线（区间）
外青松公路杜村,青安线
外青松公路林荫新路,松江33路,松江98路,松青线,松江旅游观光1线
外青松公路枫泾村路,松青线
外青松公路桃源路,松江94路
外青松公路横泾,青安线,香花桥2路
外青松公路水厂路,青浦12路,松青线
外青松公路沪青平公路,松青线,青浦3路,青浦18路
外青松公路泗陈公路,松江94路
外青松公路滨江支路,青安线（区间）
外青松公路王仙村,松青线
外青松公路环山路,松江94路
外青松公路界泾港路,上青线,青浦5路,松青线
外青松公路白虬江路,白鹤6路
外青松公路盈港路,青浦10路,青安线,上青线,松青线,青浦30路
外青松公路纪鹤公路,青安线
外青松公路绿地大道,青安线,青安线（区间）
外青松公路西庆路,松青线
外青松公路青东农场,松青线
外青松公路青松路,青浦12路
外青松公路香大路,青安线,香花桥2路
外青松公路鹤如路,白鹤6路,青浦24路,白鹤2路,白鹤1路
外青松公路鹤意路,白鹤6路,青浦24路,白鹤1路,白鹤2路
外青松公路鹤民路,青安线
外青松公路鹤祥路,白鹤6路,青安线
外高桥保税区,外高桥2路
大东门,324路,64路,11路,304路,930路,926路
大中窑,1087路,航头5路,沪南线,183路
大亭公路亭虹路,南松专线
大公桥,堡七线
大兴街陆家浜路,929路,306路,66路
大凉山路业煌路,191路
大华一路新沪路,547路
大华二路真华路,547路
大华小区,1731路,长兴2路,长兴3路
大华新村,112路
大华新村（行知路）,737路
大华行知公园,547路
大华路华灵西路,737路,766路
大华路大华一路,547路,766路,937路
大华路大华二路,737路,766路,937路
大华路行知路,737路,738路,923路,766路
大南门,926路,324路,11路,304路
大叶公路东勤公路,1826路
大叶公路东勤路,882路
大叶公路光善路,南航线,金汇2线,奉贤49路
大叶公路六团公路,奉贤46路
大叶公路叶庄公路,882路
大叶公路向阳河,1826路
大叶公路嘉园路,奉贤42路,航奉专线,奉贤49路
大叶公路孟溪公路,1826路
大叶公路扶港路,奉贤49路
大叶公路新奉公路,奉贤46路
大叶公路新强路,航奉专线,奉贤49路
大叶公路新民港路,奉贤42路,航奉专线,奉贤49路
大叶公路望园路,奉贤42路,航奉专线,奉贤49路
大叶公路林海公路,南航线,金汇2线,奉贤49路
大叶公路欢乐路,南航线,金汇2线,奉贤49路
大叶公路沪杭公路,奉贤27路,882路,奉贤49路
大叶公路沿浦公路,航奉专线,奉贤49路
大叶公路沿钱公路,航奉专线,江平专线,金汇1线,南航线,奉贤49路
大叶公路泰恒路,奉贤49路
大叶公路泰西路,南航线,沪塘专线,江平专线,奉贤49路
大叶公路浦卫公路,庄行1线,奉贤27路,882路,庄行2线
大叶公路浦星公路,航奉专线,奉贤49路
大叶公路浦秀路,奉贤27路,882路
大叶公路牡丹园路,奉贤27路,882路
大叶公路环城东路,奉贤42路,奉贤49路
大叶公路环城西路,奉贤27路,882路
大叶公路瓦洪公路,奉贤46路
大叶公路申杰路,奉贤46路
大叶公路航塘公路,南航线,金汇2线,奉贤49路
大叶公路虹辉路,882路
大叶公路贤浦路,航奉专线,奉贤49路
大叶公路车亭公路,1826路
大叶公路金海公路,奉贤42路,航奉专线,奉贤49路
大叶公路金闸公路,奉贤42路,航奉专线,海航专线,奉贤49路
大叶公路金雄路,航奉专线,奉贤49路
大叶公路长兴公路,1826路
大同,奉贤15路,奉贤34路
大同建筑站,崇明乡村2路,崇明乡村2路（区间）
大同敬老院,崇明乡村2路,崇明乡村2路（区间）
大同村,莘南专线
大同路东塘路,313路,640路,81路
大同路和龙路,640路,971路,313路,1027路,浦东78路,浦东17路,81路
大同路浦东北路,971路,313路,浦东19路,浦东17路,640路,81路
大同路清溪路,453路,640路,浦东78路,313路,1027路,浦东19路,浦东45路,浦东26路,外高桥3路,971路,81路
大同路石家街,640路,浦东66路,971路,81路,313路
大同路石家街 （市七医院）,外高桥3路,浦东19路
大同路石家街（市七医院）,453路,1027路,浦东45路,浦东78路,浦东26路
大同路花山路,1027路,浦东78路
大名路闵行路,135路,37路
大名路闵行路(下行白渡桥),330路
大团中学,浦东23路
大团镇,1062路,浦东23路,大团2路
大场,110路,185路
大堤路卫一路,莲卫专线
大堤路荔浦路,金山1路
大塔路梅家浜路,松江66路
大学城体育馆,松莘线
大宁路万荣路,547路,40路
大宁路运城路,547路,40路,959路,937路
大安路俞湾路,嘉定54路,892路
大安路宝钱公路,嘉定54路,892路
大安路徐潘路,嘉定54路
大宏村,嘉定58路
大官塘路旗亭路,松江106路,松江39路区间,松江39路
大官塘路茶坛路,松江106路,松江39路区间,松江39路
大川公路S32,浦东55路
大川公路下盐路,浦东55路,806路,浦东51路,浦东125路
大川公路人民西路,南园1路,惠南8路,浦东74路,浦东107路,浦东59路,大泥专线,浦东123路
大川公路卫亭路,浦东55路,1065路
大川公路周祝公路,浦东55路
大川公路宝溪路,浦东55路
大川公路拱乐路,惠南8路,浦东107路,1070路,806路,浦东51路,浦东59路,浦东55路,大泥专线,浦东123路,浦东125路,浦东122路
大川公路拱乐路（浦东医院）,浦东74路
大川公路拱极路,浦东107路,浦东59路,惠南8路,浦东74路,浦东123路
大川公路汇成路,浦东8路
大川公路沪南公路,南园1路,浦东8路,1069路
大川公路浦红西路,1065路,浦东55路
大川公路聚溪路,浦东55路
大川公路西门路,南园1路,惠南8路,浦东74路,大泥专线
大庆桥东,奉贤21路
大庆桥西,奉贤21路
大康路南蕰藻路,165路,741路
大康路场北路,741路
大慈路亭升路,亭林1路,亭林5路,金山203路
大慈路寺平北路,亭林5路,金山203路
大新镇,崇明乡村3路,堡胜专线,堡胜专线（区间）
大木桥,外高桥1路
大木桥路中山南二路,104路,572路,45路,327路,徐汇滨江环线,隧道二线
大木桥路斜土路,104路,45路,327路,932路,572路,隧道二线
大柏树,100路,59路
大柏树(中山北一路),502路,942路,51路
大柏树(曲阳路),528路,1258路,751路
大柏树(汶水东路),966路
大柏树(逸仙路),850路,51路
大柏树中山北一路,537路,139路
大柏树曲阳路,528路,405路
大柏树逸仙路,537路
大柏树（东体育会路）,746路
大柏树（中山北一路）,302路,52路,854路
大柏树（曲阳路),874路
大柏树（曲阳路）,116路,552路,134路,329路
大柏树（汶水东路）,133路,874路
大柏树（逸仙路）,502路,116路,302路,812路,52路
大树村,柘林1线
大桥,189路,浦东23路
大桥头,嘉定131路,上嘉线,嘉定65路,嘉定115路
大棉桥,崇明乡村3路
大河村村委,浦东31路
大河沈港3组,浦东31路
大治河,浦东23路
大治路大治支路,嘉定58路
大治路浏翔公路,嘉定101路
大沽路成都北路,109路
大泥公路人民路,泥城4路
大泥公路南团公路,1062路
大泥公路川南奉公路,1062路
大润发超市,奉贤5路,奉贤12路,奉贤2路,奉贤1路
大渡河路云岭东路,551路,44路,1227路,944路
大渡河路光复西路,944路
大渡河路北石路,766路,105路,551路,743路,63路,838路,740路,754路,136路,856路,944路,长征1路
大渡河路同普路,551路
大渡河路怒江北路,754路,856路,947路
大渡河路枣阳路,1227路
大渡河路桃浦路,838路,754路,856路,944路
大渡河路梅川路,551路,754路,948路,856路,944路,739路,长征1路,947路
大渡河路芝川路,551路,长征1路
大渡河路金沙江路,846路,551路,1227路,944路,44路
大渡河路铜川路,766路,551路,838路,754路,136路,856路,944路,724路,长征1路
大港中心学校,松江83路
大盈浦路丁家港路,青浦17路
大盈浦路青泰路,青浦4路,青浦8路,1507路,1508路,1516路
大盈路襄臣路,香花桥2路
大石皮,嘉定64路
大统路中山北路,1208路,98路
大茫中心路,1684路
大茫村,1684路
大莲湖水闸路河祝村,金泽4路
大莲湖水闸路祝家湾村,金泽4路
大莲湖水闸路西岑支路,金泽4路
大裕村,嘉定101路
大连西路东体育会路,310路,853路,875路,959路,70路,937路,975路,79路
大连西路四平路,853路,310路,147路,70路,975路,937路,79路
大连西路曲阳路,100路,310路,70路,959路,937路,975路,79路,751路
大连西路玉田新村,975路,937路,79路
大连路周家嘴路,975路,308路,746路,853路,申川专线,870路,79路,6路,597路,871路,962路
大连路四平路,70路
大连路新港路,853路,975路,79路
大连路曲阳路,853路
大连路杨树浦路,134路
大连路长阳路,317路,975路,746路,申川专线,853路,597路,870路,79路,871路,25路
大连路飞虹路,853路,308路,746路,975路,6路,79路,962路
大通路堡港路,1712路
大道站路新浦路,浦东73路,604路
大道站路浦三路,隧道一线,784路
大陈路鼓浪屿路,城桥3路
大韩民国临时政府旧址站,旅游1线
大麦湾,沪南线
大黄馨园,1602路,345路,宝山90路
天九路天云路,松江90路
天九路沈砖公路,松江90路
天仙河,南跃线,南江专线
天华路沪杭公路,奉卫线
天宝路临平路,1219路
天宝路新港路,1219路
天山西路,71路区间
天山西路七莘路,173路
天山西路东华美路,316路
天山西路二联村,1512路,徐泾1路
天山西路剑河路,846路,889路,855路,830路,750路,808路,216路,141路,316路,91路,855路区间
天山西路北渔路,846路,855路,808路,190路,216路,141路,830路,316路,855路区间
天山西路华翔路,189路
天山西路哈密路,855路区间
天山西路平塘路,846路,889路,750路,855路,141路,855路区间
天山西路汇龙路,青浦25路,青浦20路,1503路
天山西路淞虹路,876路,1205路
天山西路申滨路,889路,闵行28路,闵行18路,190路,189路
天山西路申长路,889路,173路,闵行23路,190路,189路
天山西路福泉路,1221路,176路,889路,新泾1路区间,74路,141路,316路,855路区间
天山西路蟠龙路,青浦20路,1503路
天山路中山西路,1250路,311路,190路,1251路
天山路古北路,519路,830路,1250路,311路,190路,808路
天山路哈密路,855路,158路,830路,311路,190路,808路,739路,141路
天山路天中路,54路,855路,158路,72路,1250路,190路,141路,316路
天山路威宁路,855路,830路,311路,190路,808路,739路,141路,316路,158路
天山路娄山关路,72路,1250路,856路,830路,311路,190路,141路,808路,941路
天山路延安西路,1251路
天山路水城路,311路
天山路芙蓉江路,54路,855路,72路,1250路,830路,856路,311路,190路,757路,141路,808路,941路,316路,158路
天山路遵义路,519路,941路,1250路,311路,190路,141路
天工路亭卫公路,金山中部环线
天工路亭卫公路（西）,1658路
天工路时代大道,金山中部环线
天平,宝山57路
天平路广元路,320路,72路,926路
天平路淮海中路,320路,926路
天津路河南中路,37路
天津路河南中路(下行九江路江西中路),330路
天津路福建中路,37路
天津路福建中路(下行九江路浙江中路),330路
天淀路庄家村,朱家角5路
天淀路新王路,朱家角5路
天淀路沈砖公路,朱家角5路
天淀路王金村,朱家角5路
天淀路葑沃路,朱家角5路
天潼路四川北路,305路,19路,65路,37路
天潼路河南北路,14路,19路,25路
天目东路山西北路,63路,308路,18路,318路,302路,13路,329路,319路,51路
天目东路晋元路,308路
天目东路浙江北路,63路,308路,51路,18路,318路,302路,13路,319路,537路,329路
天目东路陕西北路,537路
天目中路共和新路,329路
天目中路大统路（上海火车站）,63路,332路,58路,13路,319路
天目中路晋元路,63路,312路,302路,隧道三线,13路,319路,329路,46路
天目西路恒丰路,63路,768路,106路,13路,64路,319路,837路,113路
天目西路恒丰路（上海火车站）,966路
天目西路长安路,64路
天祝路永盛路,嘉定14路
天章路秦皇岛路,137路,79路
天等路上中西路,156路,192路
天等路罗秀路,192路
天翔路文涵路,松江15路
天辰路久乐路,香花桥1路
天辰路久远路,香花桥1路
天辰路华青路,香花桥1路
天辰路向阳河路,香花桥1路
天辰路外青松公路,香花桥1路
天辰路新胜路,香花桥1路
天通庵路同心路,103路
天钥桥南路黄石路,818路
天钥桥路中山南二路,56路,770路,301路,徐闵夜宵专线,166路,178路,864路,342路,932路,104路,714路
天钥桥路南丹东路,703路,89路,733路
天钥桥路南丹路,315路,15路
天钥桥路斜土路,56路,958路,770路,大桥六线,178路,864路,342路,44路,隧道二线
天钥桥路斜土路(下行零陵路双峰北路),218路
天钥桥路辛耕路,徐闵夜宵专线,315路,572路,44路
天钥桥路辛耕路(徐家汇),770路,864路
天钥桥路辛耕路(徐家汇）,958路
天钥桥路辛耕路（徐家汇),927路
天钥桥路辛耕路（徐家汇）,隧道夜宵一线,15路,72路,732路
天阴桥路中山南二路,733路
天雄路周祝公路,1085路,浦东98路,浦东97路
天雄路当归路,581路B线
天雄路琥珀路,581路B线
天馨学校,1602路,345路,宝山90路
天马公墓,松朱线
天马山汽车站,松江28路区间,松江67路,松江93路,松江90路,松江28路,松江96路
天鸡路,松朱线
天鸡路天宅路,松江93路
天鸡路天鸡支路,松江93路
天鸡路沈砖公路,松江93路
太仓科教新城客运站（太仓境内）,嘉定60路
太仓路重庆南路,781路,隧道八线,932路
太原路建国西路,45路,327路,42路
太原路永嘉路,327路,42路
太原路汾阳路,45路,42路
太平村,嘉定121路B线
太平竖河桥,南海二线,南海线
太平路宏海公路,崇明乡村5路
太联路双泾桥,香花桥1路
太联路大联村,香花桥1路
太联路太联村,香花桥1路
头桥,奉贤46路,邵鹤线,江平专线,新芦专线,奉贤49路,头桥1线
头桥中学,江平专线
头桥敬老院,头桥1线
奉卫公路南亭公路,452路
奉卫公路贤明路,452路
奉城,邵鹤线,奉城2线,奉城1线,江五线,奉城4线,新芦专线,奉卫线,南团快线,奉城3线,金汇1线,奉贤49路
奉城东门,奉城4线
奉城东门港,奉城3线,南团快线,江平专线,金汇1线,奉卫线,奉贤49路
奉城加油站,奉城4线,奉卫线
奉城医院,奉城2线,奉城1线,邵鹤线,奉城3线,江五线,江平专线,金汇1线,奉卫线,南团快线,奉城4线,奉贤49路
奉城汽车站,奉城3线,奉城4线,金汇1线,奉卫线,石南专线,奉贤49路
奉城车站,江平专线
奉城镇政府,奉城1线
奉城镇林业站,奉城1线
奉城镇镇政府,邵鹤线,江五线
奉城高级中学,新芦专线,江平专线,奉城4线
奉干公路2号桥,奉城3线
奉干公路3号桥,奉城3线
奉干公路4号桥,奉城3线
奉干公路爱护路,奉城3线
奉拓公路海农公路,海航专线
奉拓公路金钱公路,海航专线
奉教院附小,奉贤16路
奉村路航吴路,青村1线
奉村路青伟路,青村1线
奉村路青工路,青村1线
奉柘公路南海公路,奉贤19路,奉卫线
奉柘公路平庄公路,奉贤45路,奉卫线
奉柘公路星火公路,奉卫线
奉柘公路浦星公路,青村1线,奉卫线
奉柘公路海农公路,青村1线,奉卫线
奉柘公路盐青路,奉贤45路,奉卫线
奉柘公路胡桥路,奉贤19路,奉卫线
奉柘公路金钱公路,青村1线,奉贤24路,奉卫线
奉柘公路钦林南路,奉贤19路,奉卫线
奉欣基地,江五线
奉浦大厦,奉贤42路,浦亭线,奉贤3路,奉贤8路,莘南专线,奉贤15路,奉贤29路,奉贤7路
